Species,n_dental,n_skull,Diet,Body_mass,Pal_leng,Pal_wid,Pal_area,Jaw_leng,P3_MD,P3_BL,P3_area,P4_MD,P4_BL,P4_area,PM_area,M1_MD,M1_BL,M1_area,M2_MD,M2_BL,M2_area,M3_MD,M3_BL,M3_area,MR_area
Allenopithecus_nigroviridis,10,5,F,6130.0,42.18,19.91,839.67,78.07,4.74,5.01,23.77,4.48,5.85,26.20,49.97,6.08,6.08,36.92,6.79,7.34,49.83,5.71,6.63,37.87,124.62
Bunopithecus_hoolock,33,25,F,6870.0,44.10,21.67,955.45,79.09,5.77,5.87,33.88,5.07,6.27,31.82,65.70,6.67,7.29,48.67,7.34,7.91,58.05,6.65,7.44,49.48,156.20
Cercocebus_agilis,10,19,H,9500.0,53.52,22.13,1184.57,94.55,5.95,6.87,40.86,6.08,8.11,49.31,90.17,7.56,8.24,62.32,8.25,8.93,73.67,7.40,8.29,61.36,197.36
Cercocebus_torquatus_atys,19,25,H,11000.0,55.55,22.95,1275.06,96.08,6.00,6.69,40.16,6.20,7.82,48.50,88.66,8.18,8.56,70.00,8.75,9.16,80.08,8.29,8.86,73.48,223.56
Cercopithecus_ascanius,23,24,F,3700.0,32.64,19.80,646.14,63.47,3.99,3.84,15.33,3.97,4.45,17.69,33.02,5.42,4.97,26.91,5.77,5.80,33.47,4.81,5.10,24.52,84.90
Cercopithecus_cephus_cephus,24,29,F,4290.0,34.97,20.73,724.93,66.65,4.04,4.13,16.69,4.22,4.73,19.95,36.64,5.67,5.33,30.20,5.96,5.99,35.65,4.94,5.14,25.40,91.25
Cercopithecus_diana,9,11,F,5200.0,41.77,23.26,971.87,77.49,4.75,4.21,20.01,5.06,5.06,25.58,45.59,6.20,5.35,33.15,6.66,5.97,39.76,5.86,5.49,32.18,105.10
Cercopithecus_erythrogaster,3,5,F,4100.0,34.33,19.35,664.15,65.67,4.08,4.00,16.31,4.25,4.75,20.16,36.46,5.62,5.21,29.28,6.12,5.96,36.47,5.17,5.21,26.90,92.65
Cercopithecus_erythrotis,4,12,F,4270.0,37.27,20.43,761.51,71.68,4.20,4.09,17.19,4.41,4.81,21.19,38.38,6.00,5.22,31.29,6.31,6.09,38.43,5.56,5.50,30.59,100.31
Cercopithecus_lhoesti,14,17,F,5970.0,42.61,22.69,966.54,82.48,4.62,4.23,19.52,4.85,5.11,24.78,44.30,6.32,5.61,35.48,6.73,6.38,42.94,5.90,5.72,33.76,112.17
Cercopithecus_mitis,12,19,F,7930.0,41.96,22.03,924.19,80.67,4.40,4.17,18.32,4.59,5.22,23.93,42.25,6.42,5.82,37.37,6.75,6.51,43.96,6.04,5.97,36.06,117.39
Cercopithecus_mona,19,26,F,5100.0,39.80,20.96,834.21,75.27,4.22,4.12,17.37,4.30,4.87,20.95,38.32,5.81,5.43,31.56,6.13,6.34,38.91,5.42,5.75,31.17,101.64
Cercopithecus_neglectus,24,10,F,7350.0,42.44,21.35,905.78,82.09,4.71,4.36,20.55,4.84,5.24,25.37,45.92,6.21,5.75,35.72,6.80,6.71,45.59,6.05,5.94,35.97,117.28
Cercopithecus_nictitans,24,34,F,6670.0,42.11,22.76,958.27,81.40,4.51,4.28,19.29,4.73,5.08,24.02,43.31,6.13,5.41,33.17,6.67,6.24,41.63,5.91,5.73,33.83,108.63
